driverId,name,ssn,location,certified,wage-plan
10,Carlos Chavez,572-19-3576,"USNS Barnett
FPO AA 81549",N,miles
11,Connie Williams,181-83-6273,"7583 Ashley Wells
Travischester, CO 68246",Y,hours
12,Lisa Nelson,828-41-3677,"31123 Billy Valley Apt. 622
West Jeffrey, PR 65550",Y,hours
13,Daniel Jones,167-45-3273,"9911 Katie Station
Lake Michael, WA 29257",Y,miles
14,Kelsey Craig,083-52-8614,"976 Smith Motorway
Matthewbury, LA 01043",Y,hours
15,Jessica Butler,358-12-9646,"896 Timothy Path Suite 478
Hernandezburgh, GA 85228",N,hours
16,Taylor Lopez,806-12-3560,"Unit 0546 Box 8732
DPO AA 92907",N,miles
17,Margaret Mcdonald,657-95-9520,"0890 Hines Hollow
Meganmouth, FM 36315",Y,hours
18,Victoria Hall,603-85-2785,"USCGC Kramer
FPO AA 82555",Y,miles
19,Diane Massey,787-35-7615,"534 Roger Shores
Thompsontown, DC 31768",N,hours
20,Stephen Nielsen,703-78-6921,"9192 Michelle Extensions Suite 941
New Courtneyport, IL 33075",N,miles
21,Tiffany Fischer,081-84-0865,"967 Tammy Dale
Allisonland, WA 88999",N,miles
22,Mike Wood,160-48-5136,"168 Casey Crest Suite 881
East Michaelhaven, ID 36032",Y,miles
23,Dale Rodriguez,517-10-4302,"83965 Anderson Crescent Apt. 338
West Seth, AL 29945",Y,miles
24,John Thomas,173-47-3134,"20673 Tom Mount
Port Tylerchester, PA 27623",Y,miles
25,Daniel Clark,631-69-7213,"36787 Bass Circle
Lake Thomas, HI 61094",N,miles
26,Anthony Carr,622-49-6518,"1214 Jody Estate Suite 511
Lake Marcus, DE 67841",Y,miles
27,John Weiss,128-55-2280,"9952 Villanueva Island
Mitchellbury, MD 13249",Y,miles
28,Sandra Howard,717-52-6884,"05902 Carpenter Dam Apt. 538
Christinachester, AZ 83777",Y,miles
29,Susan Snyder,482-44-8488,"USCGC Coleman
FPO AP 75784",N,hours
30,Tyler Hunter,303-43-4909,"USS Robinson
FPO AP 86290",Y,miles
31,Cindy Pierce,660-19-6308,"PSC 6031, Box 0159
APO AP 12749",N,hours
